Saving file... detailDownsampled.csv
Saving file... detailVolDownsampled.csv
Saving file... detailTempDownsampled.csv
         9069802 function calls (8944310 primitive calls) in 11.970 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 generic.py:424(_construct_axes_from_arguments)
        3    0.000    0.000    0.000    0.000 generic.py:453(<dictcomp>)
    20847    0.015    0.000    0.015    0.000 generic.py:456(_get_axis_number)
        3    0.000    0.000    0.001    0.000 generic.py:4564(reindex)
    20841    0.042    0.000    0.057    0.000 generic.py:470(_get_axis)
        3    0.000    0.000    0.000    0.000 generic.py:476(_get_block_manager_axis)
        6    0.000    0.000    0.000    0.000 generic.py:4797(<genexpr>)
        6    0.000    0.000    0.000    0.000 generic.py:5411(__finalize__)
    20844    0.041    0.000    0.041    0.000 generic.py:5449(__getattr__)
    41685    0.124    0.000    0.370    0.000 generic.py:5467(__setattr__)
        3    0.000    0.000    0.000    0.000 generic.py:5522(_protect_consolidate)
        3    0.000    0.000    0.000    0.000 generic.py:5534(_consolidate_inplace)
        3    0.000    0.000    0.000    0.000 generic.py:5538(f)
        3    0.000    0.000    0.002    0.001 generic.py:7416(isna)
    20835    0.012    0.000    0.049    0.000 indexers.py:52(is_list_like_indexer)
    20838    0.016    0.000    0.016    0.000 indexing.py:103(iloc)
    20835    0.047    0.000    0.148    0.000 indexing.py:1426(_validate_integer)
    20838    0.118    0.000    8.602    0.000 indexing.py:1479(_getitem_axis)
        3    0.000    0.000    0.001    0.000 indexing.py:1505(_get_slice_axis)
        3    0.000    0.000    0.000    0.000 indexing.py:2350(need_slice)
    20838    0.066    0.000    8.690    0.000 indexing.py:882(__getitem__)
    20835    0.014    0.000    0.071    0.000 inference.py:185(is_array_like)
        9    0.000    0.000    0.000    0.000 inference.py:263(is_dict_like)
       27    0.000    0.000    0.000    0.000 inference.py:289(<genexpr>)
        3    0.000    0.000    0.000    0.000 inference.py:295(is_named_tuple)
    41733    0.030    0.000    0.043    0.000 inference.py:322(is_hashable)
        3    0.000    0.000    0.000    0.000 inference.py:391(is_dataclass)
        9    0.000    0.000    0.000    0.000 inference.py:96(is_file_like)
       23    0.000    0.000    0.001    0.000 managers.py:1013(iget_values)
       12    0.000    0.000    0.000    0.000 managers.py:126(__init__)
       12    0.000    0.000    0.000    0.000 managers.py:132(<listcomp>)
        3    0.000    0.000    0.000    0.000 managers.py:150(from_blocks)
    20841    0.038    0.000    0.046    0.000 managers.py:1545(__init__)
       23    0.000    0.000    0.000    0.000 managers.py:157(blknos)
    20841    0.064    0.000    1.448    0.000 managers.py:1577(from_array)
    20850    0.011    0.000    0.011    0.000 managers.py:1588(_block)
    20835    0.029    0.000    0.046    0.000 managers.py:1622(external_values)
       15    0.000    0.000    0.000    0.000 managers.py:1626(internal_values)
        3    0.000    0.000    0.000    0.000 managers.py:1634(is_consolidated)
        6    0.000    0.000    0.106    0.018 managers.py:1690(create_block_manager_from_arrays)
       18    0.000    0.000    0.000    0.000 managers.py:1695(<genexpr>)
        6    0.000    0.000    0.000    0.000 managers.py:1699(<listcomp>)
       23    0.000    0.000    0.000    0.000 managers.py:173(blklocs)
        6    0.001    0.000    0.105    0.018 managers.py:1733(_form_blocks)
        6    0.000    0.000    0.056    0.009 managers.py:1829(_simple_blockify)
       12    0.000    0.000    0.046    0.004 managers.py:1844(_multi_blockify)
       28    0.000    0.000    0.000    0.000 managers.py:1847(<lambda>)
       18    0.065    0.004    0.099    0.005 managers.py:1860(_stack_arrays)
       46    0.000    0.000    0.000    0.000 managers.py:1863(_asarray_compat)
       18    0.000    0.000    0.000    0.000 managers.py:1869(_shape_compat)
    20835    0.054    0.000    2.437    0.000 managers.py:1887(_interleaved_dtype)
    20835    0.044    0.000    0.069    0.000 managers.py:1903(<listcomp>)
       12    0.000    0.000    0.000    0.000 managers.py:206(shape)
       36    0.000    0.000    0.000    0.000 managers.py:208(<genexpr>)
       36    0.000    0.000    0.000    0.000 managers.py:210(ndim)
        3    0.000    0.000    0.000    0.000 managers.py:232(_rebuild_blknos_and_blklocs)
    20844    0.012    0.000    0.012    0.000 managers.py:253(items)
    20835    0.026    0.000    0.073    0.000 managers.py:303(__len__)
        6    0.000    0.000    0.000    0.000 managers.py:318(_verify_integrity)
       24    0.000    0.000    0.000    0.000 managers.py:320(<genexpr>)
        3    0.001    0.000    0.060    0.020 managers.py:376(apply)
        3    0.000    0.000    0.000    0.000 managers.py:405(<dictcomp>)
        3    0.000    0.000    0.060    0.020 managers.py:674(to_native_types)
        6    0.000    0.000    0.000    0.000 managers.py:681(is_consolidated)
        6    0.000    0.000    0.000    0.000 managers.py:689(_consolidate_check)
        6    0.000    0.000    0.000    0.000 managers.py:690(<listcomp>)
        3    0.000    0.000    0.000    0.000 managers.py:776(get_slice)
        3    0.000    0.000    0.000    0.000 managers.py:782(<listcomp>)
    20835    0.415    0.000    3.301    0.000 managers.py:940(fast_xs)
        3    0.000    0.000    0.000    0.000 managers.py:975(consolidate)
        6    0.000    0.000    0.000    0.000 managers.py:991(_consolidate_inplace)
       18    0.000    0.000    0.011    0.001 missing.py:133(_isna)
       18    0.000    0.000    0.010    0.001 missing.py:202(_isna_ndarraylike)
        9    0.000    0.000    0.008    0.001 missing.py:244(_isna_string_dtype)
        6    0.000    0.000    0.000    0.000 missing.py:367(array_equivalent)
        6    0.000    0.000    0.000    0.000 missing.py:465(_array_equivalent_object)
       18    0.000    0.000    0.011    0.001 missing.py:50(isna)
        3    0.000    0.000    0.000    0.000 missing.py:64(clean_fill_method)
        3    0.000    0.000    0.000    0.000 missing.py:721(clean_reindex_fill_method)
       23    0.000    0.000    0.000    0.000 multiarray.py:1054(copyto)
       23    0.000    0.000    0.000    0.000 multiarray.py:143(concatenate)
        3    0.000    0.000    0.000    0.000 nanops.py:174(_get_fill_value)
        3    0.000    0.000    0.000    0.000 nanops.py:199(_maybe_get_mask)
